Datum;Kurs
2017-04-05;208,399
2017-04-04;207,89
2017-04-03;207,39
2017-03-31;208,69
2017-03-30;208,08
2017-03-29;206,91
2017-03-28;206,12
2017-03-27;204,93
2017-03-24;205,73
2017-03-23;206,05
2017-03-22;204,36
2017-03-21;205,05
2017-03-20;206,10
2017-03-17;206,62
2017-03-16;206,06
2017-03-15;204,50
2017-03-14;203,63
2017-03-13;204,21
2017-03-10;203,30
2017-03-09;203,41
2017-03-08;203,16
2017-03-07;203,06
2017-03-06;203,56
2017-03-03;204,60
2017-03-02;204,67
2017-03-01;204,60
2017-02-28;201,47
2017-02-27;201,16
2017-02-24;201,42
2017-02-23;203,19
2017-02-22;203,20
2017-02-21;203,08
2017-02-20;201,75
2017-02-17;201,55
2017-02-16;201,42
2017-02-15;201,96
2017-02-14;201,28
2017-02-13;201,33
2017-02-10;199,70
2017-02-09;199,40
2017-02-08;197,68
2017-02-07;197,22
2017-02-06;196,66
2017-02-03;198,01
2017-02-02;196,98
2017-02-01;197,47
2017-01-31;195,78
2017-01-30;197,28
2017-01-27;199,30
2017-01-26;199,92
2017-01-25;199,38
2017-01-24;196,93
2017-01-23;196,40
2017-01-20;197,32
2017-01-19;197,28
2017-01-18;197,38
2017-01-17;197,04
2017-01-16;197,43
2017-01-13;199,15
2017-01-12;197,07
2017-01-11;198,42
2017-01-10;197,98
2017-01-09;197,82
2017-01-06;198,88
2017-01-05;198,93
2017-01-04;198,59
2017-01-03;198,77
2017-01-02;197,97
2016-12-30;196,64
2016-12-29;196,06
2016-12-28;196,67
2016-12-27;196,10
2016-12-23;195,99
2016-12-22;195,82
2016-12-21;196,32
2016-12-20;196,49
2016-12-19;195,78
2016-12-16;195,87
2016-12-15;195,40
2016-12-14;193,47
2016-12-13;194,52
2016-12-12;192,56
2016-12-09;193,36
2016-12-08;191,55
2016-12-07;189,24
2016-12-06;187,40
2016-12-05;185,59
2016-12-02;184,48
2016-12-01;184,94
2016-11-30;185,99
2016-11-29;185,26
2016-11-28;184,60
2016-11-25;186,11
2016-11-24;185,78
2016-11-23;185,00
2016-11-22;184,94
2016-11-21;184,76
2016-11-18;184,05
2016-11-17;185,11
2016-11-16;183,97
2016-11-15;184,23
2016-11-14;183,65
2016-11-11;183,28
2016-11-10;184,03
2016-11-09;184,63
2016-11-08;181,60
2016-11-07;181,04
2016-11-04;178,05
2016-11-03;179,44
2016-11-02;179,74
2016-11-01;181,80
2016-10-31;183,94
2016-10-28;184,85
2016-10-27;185,49
2016-10-26;185,36
2016-10-25;185,91
2016-10-24;186,45
2016-10-21;186,48
2016-10-20;186,38
2016-10-19;186,02
2016-10-18;185,34
2016-10-17;182,85
2016-10-14;184,02
2016-10-13;181,86
2016-10-12;183,48
2016-10-11;184,05
2016-10-10;185,25
2016-10-07;183,53
2016-10-06;185,36
2016-10-05;186,19
2016-10-04;187,15
2016-09-30;185,70
2016-09-29;185,26
2016-09-28;185,03
2016-09-27;183,76
2016-09-26;183,70
2016-09-23;186,60
2016-09-22;187,76
2016-09-21;184,73
2016-09-20;183,91
2016-09-19;184,24
2016-09-16;182,36
2016-09-15;183,71
2016-09-14;182,47
2016-09-13;182,61
2016-09-12;184,58
2016-09-09;186,31
2016-09-08;188,47
2016-09-07;189,14
2016-09-06;188,51
2016-09-05;189,32
2016-09-02;189,00
2016-09-01;185,41
2016-08-31;185,23
2016-08-30;186,14
2016-08-29;185,10
2016-08-26;185,55
2016-08-25;184,70
2016-08-24;186,13
2016-08-23;185,21
2016-08-22;183,78
2016-08-19;183,53
2016-08-18;185,10
2016-08-17;183,73
2016-08-16;185,23
2016-08-15;186,68
2016-08-12;186,72
2016-08-11;187,17
2016-08-10;185,23
2016-08-09;185,67
2016-08-08;184,08
2016-08-05;183,92
2016-08-04;181,98
2016-08-03;180,56
2016-08-02;180,56
2016-08-01;183,02
2016-07-29;184,15
2016-07-28;182,75
2016-07-27;184,75
2016-07-26;183,97
2016-07-25;183,72
2016-07-22;183,52
2016-07-21;183,55
2016-07-20;183,62
2016-07-19;181,90
2016-07-18;182,63
2016-07-15;182,48
2016-07-14;182,62
2016-07-13;180,92
2016-07-12;181,55
2016-07-11;179,47
2016-07-08;176,72
2016-07-07;174,11
2016-07-06;172,43
2016-07-05;175,02
2016-07-04;177,85
2016-07-01;178,96
2016-06-30;177,57
2016-06-29;175,87
2016-06-28;170,67
2016-06-27;166,21
2016-06-24;172,31
2016-06-23;185,88
2016-06-22;183,03
2016-06-21;182,55
2016-06-20;181,23
2016-06-17;174,63
2016-06-16;172,42
2016-06-15;173,43
2016-06-14;172,03
2016-06-13;175,10
2016-06-10;178,58
2016-06-09;182,88
2016-06-08;184,58
2016-06-07;185,38
2016-06-06;183,28
2016-06-03;182,63
2016-06-02;184,16
2016-06-01;183,85
2016-05-31;185,83
2016-05-30;187,40
2016-05-27;187,10
2016-05-26;186,48
2016-05-25;186,22
2016-05-24;183,80
2016-05-23;179,54
2016-05-20;180,53
2016-05-19;178,05
2016-05-18;180,18
2016-05-17;178,75
2016-05-13;178,33
2016-05-12;177,53
2016-05-11;178,48
2016-05-10;179,25
2016-05-09;177,48
2016-05-06;176,60
2016-05-05;177,20
2016-05-04;176,38
2016-05-03;178,43
2016-05-02;181,52
2016-04-29;181,25
2016-04-28;185,55
2016-04-27;185,03
2016-04-26;184,38
2016-04-25;183,88
2016-04-22;184,88
2016-04-21;185,33
2016-04-20;186,15
2016-04-19;185,18
2016-04-18;182,35
2016-04-15;181,73
2016-04-14;182,35
2016-04-13;181,65
2016-04-12;177,03
2016-04-11;175,95
2016-04-08;174,93
2016-04-07;173,35
2016-04-06;174,28
2016-04-05;172,97
2016-04-04;176,43
2016-04-01;175,53
2016-03-31;178,03
2016-03-30;179,73
2016-03-29;177,55
2016-03-24;176,48
2016-03-23;179,18
2016-03-22;179,52
2016-03-21;179,75
2016-03-18;179,98
2016-03-17;179,53
2016-03-16;179,50
2016-03-15;179,51
2016-03-14;181,53
2016-03-11;180,33
2016-03-10;175,20
2016-03-09;178,54
2016-03-08;177,90
2016-03-07;179,68
2016-03-04;180,20
2016-03-03;178,55
2016-03-02;179,08
2016-03-01;178,20
2016-02-29;175,70
2016-02-26;174,22
2016-02-25;171,43
2016-02-24;168,14
2016-02-23;172,08
2016-02-22;174,40
2016-02-19;171,55
2016-02-18;172,63
2016-02-17;172,43
2016-02-16;168,28
2016-02-15;168,88
2016-02-12;164,28
2016-02-11;158,98
2016-02-10;165,13
2016-02-09;162,03
