Datum;Kurs
2017-04-05;103,82
2017-04-04;103,50
2017-04-03;103,34
2017-03-31;103,63
2017-03-30;103,62
2017-03-29;103,03
2017-03-28;101,90
2017-03-27;101,13
2017-03-24;102,12
2017-03-23;102,48
2017-03-22;101,78
2017-03-21;102,03
2017-03-20;103,38
2017-03-17;103,40
2017-03-16;103,49
2017-03-15;103,55
2017-03-14;102,96
2017-03-13;103,13
2017-03-10;102,84
2017-03-09;103,28
2017-03-08;103,71
2017-03-07;103,54
2017-03-06;103,47
2017-03-03;104,06
2017-03-02;104,59
2017-03-01;104,63
2017-02-28;103,08
2017-02-27;103,15
2017-02-24;103,27
2017-02-23;103,78
2017-02-22;104,06
2017-02-21;103,89
2017-02-20;103,00
2017-02-17;102,59
2017-02-16;102,25
2017-02-15;103,00
2017-02-14;102,29
2017-02-13;102,24
2017-02-10;101,15
2017-02-09;100,96
2017-02-08;99,89
2017-02-07;99,95
2017-02-06;99,52
2017-02-03;99,41
2017-02-02;98,74
2017-02-01;98,90
2017-01-31;98,08
2017-01-30;99,19
2017-01-27;100,17
2017-01-26;100,53
2017-01-25;99,83
2017-01-24;98,81
2017-01-23;98,27
2017-01-20;99,14
2017-01-19;99,23
2017-01-18;98,95
2017-01-17;98,71
2017-01-16;99,63
2017-01-13;99,96
2017-01-12;98,67
2017-01-11;100,13
2017-01-10;99,83
2017-01-09;99,78
2017-01-06;100,04
2017-01-05;99,30
2017-01-04;99,89
2017-01-03;99,71
2017-01-02;99,31
2016-12-30;98,62
2016-12-29;98,68
2016-12-28;99,83
2016-12-27;99,32
2016-12-23;99,08
2016-12-22;99,01
2016-12-21;99,54
2016-12-20;100,07
2016-12-19;99,28
2016-12-16;99,21
2016-12-15;99,76
2016-12-14;97,96
2016-12-13;98,32
2016-12-12;98,12
2016-12-09;98,55
2016-12-08;97,52
2016-12-07;95,45
2016-12-06;94,82
2016-12-05;94,86
2016-12-02;94,77
2016-12-01;95,23
2016-11-30;96,09
2016-11-29;95,68
2016-11-28;95,67
2016-11-25;95,77
2016-11-24;95,84
2016-11-23;95,54
2016-11-22;95,02
2016-11-21;94,97
2016-11-18;94,54
2016-11-17;94,33
2016-11-16;93,72
2016-11-15;93,28
2016-11-14;92,91
2016-11-11;92,04
2016-11-10;92,41
2016-11-09;92,24
2016-11-08;90,94
2016-11-07;90,51
2016-11-04;88,76
2016-11-03;89,11
2016-11-02;89,27
2016-11-01;90,22
2016-10-31;91,66
2016-10-28;92,06
2016-10-27;92,39
2016-10-26;92,63
2016-10-25;92,97
2016-10-24;93,15
2016-10-21;92,85
2016-10-20;92,46
2016-10-19;92,35
2016-10-18;91,98
2016-10-17;90,96
2016-10-14;91,43
2016-10-13;90,41
2016-10-12;91,35
2016-10-11;91,16
2016-10-10;91,67
2016-10-07;90,85
2016-10-06;90,99
2016-10-05;91,12
2016-10-04;91,60
2016-09-30;91,10
2016-09-29;91,08
2016-09-28;90,90
2016-09-27;90,68
2016-09-26;90,13
2016-09-23;91,49
2016-09-22;91,76
2016-09-21;90,88
2016-09-20;90,38
2016-09-19;90,46
2016-09-16;89,77
2016-09-15;89,73
2016-09-14;88,97
2016-09-13;88,90
2016-09-12;89,89
2016-09-09;90,77
2016-09-08;91,62
2016-09-07;91,81
2016-09-06;91,73
2016-09-05;92,12
2016-09-02;91,92
2016-09-01;90,67
2016-08-31;90,93
2016-08-30;91,31
2016-08-29;91,18
2016-08-26;90,98
2016-08-25;90,55
2016-08-24;90,96
2016-08-23;90,74
2016-08-22;90,14
2016-08-19;90,29
2016-08-18;90,56
2016-08-17;90,23
2016-08-16;90,82
2016-08-15;91,87
2016-08-12;91,65
2016-08-11;91,69
2016-08-10;91,16
2016-08-09;91,74
2016-08-08;91,56
2016-08-05;91,37
2016-08-04;90,28
2016-08-03;89,49
2016-08-02;89,32
2016-08-01;90,46
2016-07-29;90,58
2016-07-28;90,42
2016-07-27;91,43
2016-07-26;91,28
2016-07-25;91,23
2016-07-22;91,39
2016-07-21;91,28
2016-07-20;91,38
2016-07-19;90,79
2016-07-18;90,59
2016-07-15;90,45
2016-07-14;90,37
2016-07-13;89,57
2016-07-12;90,03
2016-07-11;89,50
2016-07-08;88,36
2016-07-07;87,24
2016-07-06;86,68
2016-07-05;86,97
2016-07-04;87,62
2016-07-01;87,53
2016-06-30;87,04
2016-06-29;86,27
2016-06-28;84,65
2016-06-27;83,62
2016-06-24;85,32
2016-06-23;87,05
2016-06-22;86,76
2016-06-21;86,55
2016-06-20;86,32
2016-06-17;84,50
2016-06-16;84,92
2016-06-15;85,06
2016-06-14;84,73
2016-06-13;85,33
2016-06-10;86,22
2016-06-09;86,84
2016-06-08;87,04
2016-06-07;87,23
2016-06-06;86,57
2016-06-03;85,94
2016-06-02;87,02
2016-06-01;86,82
2016-05-31;87,40
2016-05-30;87,69
2016-05-27;87,54
2016-05-26;87,01
2016-05-25;87,05
2016-05-24;86,32
2016-05-23;84,90
2016-05-20;85,24
2016-05-19;84,01
2016-05-18;84,89
2016-05-17;84,59
2016-05-13;84,77
2016-05-12;83,91
2016-05-11;84,32
2016-05-10;84,66
2016-05-09;83,56
2016-05-06;83,23
2016-05-05;83,79
2016-05-04;83,00
2016-05-03;83,44
2016-05-02;84,60
2016-04-29;84,39
2016-04-28;86,93
2016-04-27;86,68
2016-04-26;86,65
2016-04-25;86,66
2016-04-22;87,21
2016-04-21;87,21
2016-04-20;87,34
2016-04-19;86,71
2016-04-18;86,16
2016-04-15;86,04
2016-04-14;86,47
2016-04-13;86,01
2016-04-12;84,02
2016-04-11;83,24
2016-04-08;83,13
2016-04-07;82,58
2016-04-06;82,98
2016-04-05;82,56
2016-04-04;83,73
2016-04-01;83,64
2016-03-31;84,09
2016-03-30;84,77
2016-03-29;84,11
2016-03-24;83,87
2016-03-23;84,86
2016-03-22;84,95
2016-03-21;84,71
2016-03-18;84,58
2016-03-17;84,03
2016-03-16;84,37
2016-03-15;84,06
2016-03-14;84,75
2016-03-11;84,19
2016-03-10;82,17
2016-03-09;84,07
2016-03-08;83,60
2016-03-07;84,56
2016-03-04;84,50
2016-03-03;83,76
2016-03-02;84,18
2016-03-01;83,46
2016-02-29;82,66
2016-02-26;82,00
2016-02-25;80,50
2016-02-24;79,05
2016-02-23;80,48
2016-02-22;81,37
2016-02-19;79,56
2016-02-18;79,99
2016-02-17;79,90
2016-02-16;78,15
2016-02-15;78,19
2016-02-12;76,25
2016-02-11;73,73
2016-02-10;76,59
2016-02-09;75,53
2016-02-08;76,46
2016-02-05;78,54
2016-02-04;79,17
2016-02-03;78,96
2016-02-02;81,02
2016-02-01;82,15
2016-01-29;82,12
2016-01-28;79,87
2016-01-27;81,14
2016-01-26;80,84
2016-01-25;80,64
2016-01-22;80,88
2016-01-21;79,44
2016-01-20;77,50
2016-01-19;80,07
2016-01-18;79,41
2016-01-15;78,95
2016-01-14;81,12
2016-01-13;82,47
2016-01-12;81,91
2016-01-11;81,43
2016-01-08;81,75
2016-01-07;83,48
2016-01-06;85,60
2016-01-05;86,64
2016-01-04;85,50
2015-12-30;87,79
2015-12-29;88,18
2015-12-28;86,41
2015-12-23;87,72
2015-12-22;85,60
2015-12-21;85,16
2015-12-18;86,31
2015-12-17;87,48
2015-12-16;86,35
2015-12-15;86,14
2015-12-14;83,48
2015-12-11;84,77
2015-12-10;86,65
2015-12-09;86,65
2015-12-08;87,35
2015-12-07;88,31
2015-12-04;88,38
2015-12-03;88,24
2015-12-02;91,84
2015-12-01;91,45
2015-11-30;91,60
2015-11-27;91,60
2015-11-26;91,96
2015-11-25;91,59
2015-11-24;90,92
2015-11-23;91,72
2015-11-20;91,53
2015-11-19;90,37
2015-11-18;90,50
2015-11-17;90,50
2015-11-16;88,40
2015-11-13;88,30
2015-11-12;89,08
2015-11-11;90,14
2015-11-10;90,09
2015-11-09;89,41
2015-11-06;90,56
2015-11-05;90,01
2015-11-04;90,32
2015-11-03;89,81
2015-11-02;88,75
2015-10-30;88,64
2015-10-29;89,11
2015-10-28;88,59
2015-10-27;87,89
2015-10-26;88,49
2015-10-23;88,72
2015-10-22;86,84
2015-10-21;84,82
2015-10-20;84,71
2015-10-19;84,95
2015-10-16;84,79
2015-10-15;83,65
2015-10-14;82,65
2015-10-13;83,81
2015-10-12;84,34
2015-10-09;84,41
2015-10-08;84,06
2015-10-07;83,69
2015-10-06;83,28
2015-10-05;83,21
2015-10-02;80,38
2015-10-01;80,44
2015-09-30;80,61
2015-09-29;78,69
2015-09-28;79,37
2015-09-25;81,48
2015-09-24;79,36
2015-09-23;81,28
2015-09-22;81,20
2015-09-21;82,88
2015-09-18;81,71
2015-09-17;83,20
2015-09-16;83,17
2015-09-15;82,21
2015-09-14;81,32
2015-09-11;81,25
2015-09-10;81,95
2015-09-09;83,54
2015-09-08;82,45
2015-09-07;81,70
2015-09-04;81,52
2015-09-03;83,54
2015-09-02;81,12
