Datum;Kurs
2017-04-05;48,28
2017-04-04;48,19
2017-04-03;48,05
2017-03-31;48,24
2017-03-30;48,20
2017-03-29;47,92
2017-03-28;47,38
2017-03-27;47,03
2017-03-24;47,48
2017-03-23;47,65
2017-03-22;47,30
2017-03-21;47,44
2017-03-20;48,00
2017-03-17;48,13
2017-03-16;48,13
2017-03-15;48,24
2017-03-14;47,97
2017-03-13;48,06
2017-03-10;47,96
2017-03-09;48,16
2017-03-08;48,29
2017-03-07;48,22
2017-03-06;48,22
2017-03-03;48,48
2017-03-02;48,72
2017-03-01;48,75
2017-02-28;48,03
2017-02-27;48,03
2017-02-24;48,07
2017-02-23;48,28
2017-02-22;48,43
2017-02-21;48,35
2017-02-20;47,93
2017-02-17;47,69
2017-02-16;47,59
2017-02-15;47,88
2017-02-14;47,61
2017-02-13;47,59
2017-02-10;47,12
2017-02-09;46,97
2017-02-08;46,55
2017-02-07;46,51
2017-02-06;46,35
2017-02-03;46,27
2017-02-02;45,93
2017-02-01;46,06
2017-01-31;45,67
2017-01-30;46,13
2017-01-27;46,57
2017-01-26;46,77
2017-01-25;46,43
2017-01-24;45,93
2017-01-23;45,76
2017-01-20;46,19
2017-01-19;46,26
2017-01-18;46,13
2017-01-17;46,01
2017-01-16;46,46
2017-01-13;46,59
2017-01-12;46,08
2017-01-11;46,71
2017-01-10;46,57
2017-01-09;46,54
2017-01-06;46,64
2017-01-05;46,40
2017-01-04;46,70
2017-01-03;46,57
2017-01-02;46,45
2016-12-30;46,02
2016-12-29;46,14
2016-12-28;46,67
2016-12-27;46,55
2016-12-23;46,39
2016-12-22;46,37
2016-12-21;46,60
2016-12-20;46,91
2016-12-19;46,52
2016-12-16;46,50
2016-12-15;46,75
2016-12-14;45,84
2016-12-13;45,99
2016-12-12;45,93
2016-12-09;46,06
2016-12-08;45,57
2016-12-07;44,62
2016-12-06;44,34
2016-12-05;44,33
2016-12-02;44,28
2016-12-01;44,48
2016-11-30;44,85
2016-11-29;44,70
2016-11-28;44,75
2016-11-25;44,76
2016-11-24;44,81
2016-11-23;44,70
2016-11-22;44,51
2016-11-21;44,46
2016-11-18;44,29
2016-11-17;44,17
2016-11-16;43,90
2016-11-15;43,70
2016-11-14;43,55
2016-11-11;43,05
2016-11-10;43,04
2016-11-09;42,89
2016-11-08;42,25
2016-11-07;42,02
2016-11-04;41,26
2016-11-03;41,38
2016-11-02;41,48
2016-11-01;42,00
2016-10-31;42,58
2016-10-28;42,83
2016-10-27;42,88
2016-10-26;42,97
2016-10-25;43,11
2016-10-24;43,20
2016-10-21;43,08
2016-10-20;42,91
2016-10-19;42,91
2016-10-18;42,71
2016-10-17;42,35
2016-10-14;42,56
2016-10-13;42,06
2016-10-12;42,41
2016-10-11;42,39
2016-10-10;42,50
2016-10-07;42,16
2016-10-06;42,33
2016-10-05;42,40
2016-10-04;42,56
2016-09-30;42,30
2016-09-29;42,36
2016-09-28;42,20
2016-09-27;42,20
2016-09-26;41,90
2016-09-23;42,46
2016-09-22;42,66
2016-09-21;42,24
2016-09-20;42,05
2016-09-19;41,98
2016-09-16;41,76
2016-09-15;41,69
2016-09-14;41,43
2016-09-13;41,40
2016-09-12;41,86
2016-09-09;42,19
2016-09-08;42,58
2016-09-07;42,71
2016-09-06;42,65
2016-09-05;42,80
2016-09-02;42,75
2016-09-01;42,24
2016-08-31;42,37
2016-08-30;42,47
2016-08-29;42,42
2016-08-26;42,28
2016-08-25;42,09
2016-08-24;42,30
2016-08-23;42,24
2016-08-22;41,90
2016-08-19;41,91
2016-08-18;42,04
2016-08-17;41,93
2016-08-16;42,16
2016-08-15;42,62
2016-08-12;42,59
2016-08-11;42,65
2016-08-10;42,35
2016-08-09;42,68
2016-08-08;42,59
2016-08-05;42,47
2016-08-04;42,04
2016-08-03;41,68
2016-08-02;41,51
2016-08-01;42,08
2016-07-29;42,26
2016-07-28;42,06
2016-07-27;42,57
2016-07-26;42,51
2016-07-25;42,50
2016-07-22;42,57
2016-07-21;42,50
2016-07-20;42,54
2016-07-19;42,28
2016-07-18;42,17
2016-07-15;42,16
2016-07-14;42,12
2016-07-13;41,77
2016-07-12;42,00
2016-07-11;41,73
2016-07-08;41,26
2016-07-07;40,72
2016-07-06;40,43
2016-07-05;40,55
2016-07-04;40,80
2016-07-01;40,82
2016-06-30;40,53
2016-06-29;40,26
2016-06-28;39,52
2016-06-27;39,01
2016-06-24;39,90
2016-06-23;40,73
2016-06-22;40,61
2016-06-21;40,54
2016-06-20;40,42
2016-06-17;39,63
2016-06-16;39,71
2016-06-15;39,79
2016-06-14;39,64
2016-06-13;39,92
2016-06-10;40,35
2016-06-09;40,63
2016-06-08;40,69
2016-06-07;40,88
2016-06-06;40,55
2016-06-03;40,30
2016-06-02;40,85
2016-06-01;40,78
2016-05-31;41,04
2016-05-30;41,25
2016-05-27;41,10
2016-05-26;40,87
2016-05-25;40,89
2016-05-24;40,54
2016-05-23;39,87
2016-05-20;40,04
2016-05-19;39,48
2016-05-18;39,82
2016-05-17;39,67
2016-05-13;39,76
2016-05-12;39,39
2016-05-11;39,58
2016-05-10;39,76
2016-05-09;39,29
2016-05-06;39,03
2016-05-05;39,29
2016-05-04;38,93
2016-05-03;39,12
2016-05-02;39,60
2016-04-29;39,48
2016-04-28;40,63
2016-04-27;40,57
2016-04-26;40,53
2016-04-25;40,51
2016-04-22;40,81
2016-04-21;40,81
2016-04-20;40,85
2016-04-19;40,57
2016-04-18;40,33
2016-04-15;40,27
2016-04-14;40,45
2016-04-13;40,23
2016-04-12;39,30
2016-04-11;39,00
2016-04-08;38,94
2016-04-07;38,81
2016-04-06;38,94
2016-04-05;38,72
2016-04-04;39,25
2016-04-01;39,17
2016-03-31;39,47
2016-03-30;39,69
2016-03-29;39,46
2016-03-24;39,33
2016-03-23;39,81
2016-03-22;39,87
2016-03-21;39,71
2016-03-18;39,65
2016-03-17;39,42
2016-03-16;39,65
2016-03-15;39,51
2016-03-14;39,81
2016-03-11;39,55
2016-03-10;38,68
2016-03-09;39,42
2016-03-08;39,27
2016-03-07;39,69
2016-03-04;39,73
2016-03-03;39,46
2016-03-02;39,65
2016-03-01;39,29
2016-02-29;38,94
2016-02-26;38,68
2016-02-25;37,95
2016-02-24;37,29
2016-02-23;37,88
2016-02-22;38,30
2016-02-19;37,46
2016-02-18;37,68
2016-02-17;37,62
2016-02-16;36,68
2016-02-15;36,88
2016-02-12;35,87
2016-02-11;34,75
2016-02-10;36,08
2016-02-09;35,54
2016-02-08;35,99
2016-02-05;37,04
2016-02-04;37,44
