Datum;Kurs
2017-04-05;39,51
2017-04-04;39,33
2017-04-03;39,15
2017-03-31;38,93
2017-03-30;39,24
2017-03-29;39,15
2017-03-28;38,80
2017-03-27;38,55
2017-03-24;38,96
2017-03-23;39,01
2017-03-22;38,85
2017-03-21;38,81
2017-03-20;39,38
2017-03-17;38,91
2017-03-16;39,00
2017-03-15;38,39
2017-03-14;38,17
2017-03-13;38,14
2017-03-10;37,54
2017-03-09;37,59
2017-03-08;38,13
2017-03-07;38,27
2017-03-06;38,14
2017-03-03;38,16
2017-03-02;38,28
2017-03-01;38,64
2017-02-28;37,98
2017-02-27;38,26
2017-02-24;38,48
2017-02-23;38,99
2017-02-22;38,91
2017-02-21;38,76
2017-02-20;38,40
2017-02-17;38,15
2017-02-16;38,26
2017-02-15;38,53
2017-02-14;38,16
2017-02-13;38,19
2017-02-10;37,86
2017-02-09;37,61
2017-02-08;37,22
2017-02-07;37,08
2017-02-06;37,14
2017-02-03;37,01
2017-02-02;36,72
2017-02-01;36,71
2017-01-31;36,45
2017-01-30;36,68
2017-01-27;36,93
2017-01-26;37,13
2017-01-25;36,85
2017-01-24;36,56
2017-01-23;36,23
2017-01-20;36,01
2017-01-19;36,16
2017-01-18;36,23
2017-01-17;36,14
2017-01-16;36,27
2017-01-13;36,45
2017-01-12;36,26
2017-01-11;36,29
2017-01-10;36,23
2017-01-09;35,90
2017-01-06;35,94
2017-01-05;35,89
2017-01-04;35,96
2017-01-03;35,89
2017-01-02;35,42
2016-12-30;35,29
2016-12-29;35,46
2016-12-28;35,25
2016-12-27;34,81
2016-12-23;34,54
2016-12-22;34,31
2016-12-21;35,04
2016-12-20;35,20
2016-12-19;35,06
2016-12-16;35,20
2016-12-15;35,37
2016-12-14;35,34
2016-12-13;35,57
2016-12-12;35,41
2016-12-09;35,88
2016-12-08;35,59
2016-12-07;34,87
2016-12-06;34,52
2016-12-05;34,46
2016-12-02;34,51
2016-12-01;34,73
2016-11-30;35,10
2016-11-29;34,91
2016-11-28;34,93
2016-11-25;34,67
2016-11-24;34,62
2016-11-23;34,54
2016-11-22;34,56
2016-11-21;34,30
2016-11-18;34,08
2016-11-17;34,30
2016-11-16;33,91
2016-11-15;33,92
2016-11-14;33,34
2016-11-11;33,14
2016-11-10;34,04
2016-11-09;34,96
2016-11-08;35,45
2016-11-07;35,18
2016-11-04;34,01
2016-11-03;34,29
2016-11-02;34,25
2016-11-01;34,85
2016-10-31;35,52
2016-10-28;35,59
2016-10-27;35,75
2016-10-26;35,94
2016-10-25;36,32
2016-10-24;36,26
2016-10-21;36,10
2016-10-20;35,95
2016-10-19;35,92
2016-10-18;35,66
2016-10-17;35,06
2016-10-14;35,15
2016-10-13;34,73
2016-10-12;35,25
2016-10-11;35,18
2016-10-10;35,79
2016-10-07;35,29
2016-10-06;35,26
2016-10-05;35,18
2016-10-04;35,39
2016-09-30;34,91
2016-09-29;35,01
2016-09-28;34,97
2016-09-27;34,85
2016-09-26;34,54
2016-09-23;35,24
2016-09-22;35,38
2016-09-21;34,86
2016-09-20;34,56
2016-09-19;34,64
2016-09-16;34,10
2016-09-15;34,04
2016-09-14;33,69
2016-09-13;33,56
2016-09-12;34,08
2016-09-09;34,58
2016-09-08;35,30
2016-09-07;35,39
2016-09-06;35,35
2016-09-05;35,20
2016-09-02;34,89
2016-09-01;34,15
2016-08-31;34,32
2016-08-30;34,66
2016-08-29;34,53
2016-08-26;34,76
2016-08-25;34,29
2016-08-24;34,33
2016-08-23;34,51
2016-08-22;34,21
2016-08-19;34,58
2016-08-18;34,83
2016-08-17;34,43
2016-08-16;34,88
2016-08-15;35,38
2016-08-12;35,05
2016-08-11;35,05
2016-08-10;34,61
2016-08-09;35,04
2016-08-08;34,79
2016-08-05;34,41
2016-08-04;34,02
2016-08-03;33,47
2016-08-02;33,36
2016-08-01;33,94
2016-07-29;33,75
2016-07-28;33,73
2016-07-27;34,11
2016-07-26;34,05
2016-07-25;33,90
2016-07-22;34,04
2016-07-21;34,04
2016-07-20;34,07
2016-07-19;33,78
2016-07-18;33,77
2016-07-15;33,63
2016-07-14;33,62
2016-07-13;32,97
2016-07-12;33,32
2016-07-11;32,97
2016-07-08;32,46
2016-07-07;31,96
2016-07-06;31,59
2016-07-05;31,95
2016-07-04;32,40
2016-07-01;32,37
2016-06-30;32,22
2016-06-29;31,91
2016-06-28;31,13
2016-06-27;30,35
2016-06-24;30,94
2016-06-23;31,64
2016-06-22;31,50
2016-06-21;31,29
2016-06-20;31,21
2016-06-17;30,42
2016-06-16;30,48
2016-06-15;30,63
2016-06-14;30,27
2016-06-13;30,46
2016-06-10;30,91
2016-06-09;31,42
2016-06-08;31,57
2016-06-07;31,57
2016-06-06;31,20
2016-06-03;30,80
2016-06-02;30,93
2016-06-01;30,68
2016-05-31;30,80
2016-05-30;30,78
2016-05-27;30,88
2016-05-26;30,59
2016-05-25;30,52
2016-05-24;30,17
2016-05-23;29,81
2016-05-20;29,87
2016-05-19;29,36
2016-05-18;29,92
2016-05-17;29,88
2016-05-13;29,84
2016-05-12;29,88
2016-05-11;30,01
2016-05-10;29,90
2016-05-09;29,43
2016-05-06;29,75
2016-05-05;29,93
2016-05-04;29,68
2016-05-03;30,09
2016-05-02;30,82
2016-04-29;30,94
2016-04-28;31,83
2016-04-27;31,65
2016-04-26;31,64
2016-04-25;31,56
2016-04-22;31,88
2016-04-21;32,02
2016-04-20;32,05
2016-04-19;32,11
2016-04-18;31,76
2016-04-15;31,82
2016-04-14;32,03
2016-04-13;32,10
2016-04-12;31,01
2016-04-11;30,70
2016-04-08;30,31
2016-04-07;29,97
2016-04-06;30,17
2016-04-05;30,24
2016-04-04;30,86
2016-04-01;30,91
2016-03-31;31,29
2016-03-30;31,44
2016-03-29;30,86
2016-03-24;30,71
2016-03-23;31,06
2016-03-22;31,46
2016-03-21;31,36
2016-03-18;31,31
2016-03-17;30,98
2016-03-16;30,35
2016-03-15;30,14
2016-03-14;30,79
2016-03-11;30,68
2016-03-10;29,69
2016-03-09;30,56
2016-03-08;30,20
2016-03-07;30,91
2016-03-04;30,84
2016-03-03;30,22
2016-03-02;30,20
2016-03-01;29,85
2016-02-29;29,10
2016-02-26;28,61
2016-02-25;28,28
2016-02-24;27,95
2016-02-23;28,61
2016-02-22;29,01
2016-02-19;28,24
2016-02-18;28,34
2016-02-17;28,41
2016-02-16;27,73
2016-02-15;27,59
2016-02-12;26,93
2016-02-11;26,11
2016-02-10;27,20
2016-02-09;26,58
2016-02-08;27,21
2016-02-05;27,94
2016-02-04;28,07
2016-02-03;27,54
2016-02-02;28,07
2016-02-01;28,75
2016-01-29;28,82
2016-01-28;27,81
2016-01-27;27,99
2016-01-26;27,82
2016-01-25;27,84
2016-01-22;27,86
2016-01-21;27,23
2016-01-20;26,52
2016-01-19;27,57
2016-01-18;27,22
2016-01-15;26,92
2016-01-14;27,94
2016-01-13;28,47
2016-01-12;28,21
2016-01-11;28,04
2016-01-08;28,10
2016-01-07;28,86
2016-01-06;29,76
2016-01-05;30,28
2016-01-04;29,84
2015-12-30;30,72
2015-12-29;31,12
2015-12-28;30,79
2015-12-23;31,37
2015-12-22;30,66
2015-12-21;30,51
2015-12-18;30,83
2015-12-17;30,98
2015-12-16;30,43
2015-12-15;30,38
2015-12-14;29,20
2015-12-11;29,40
2015-12-10;30,32
2015-12-09;30,55
2015-12-08;30,77
2015-12-07;31,27
2015-12-04;31,57
2015-12-03;31,53
2015-12-02;32,67
2015-12-01;32,89
2015-11-30;32,73
2015-11-27;32,77
2015-11-26;33,32
2015-11-25;33,25
2015-11-24;33,23
2015-11-23;33,52
2015-11-20;33,61
2015-11-19;32,93
2015-11-18;32,80
2015-11-17;32,74
2015-11-16;32,00
2015-11-13;31,88
2015-11-12;32,39
2015-11-11;32,59
2015-11-10;32,55
2015-11-09;32,56
2015-11-06;33,23
2015-11-05;33,48
2015-11-04;33,53
2015-11-03;33,28
2015-11-02;32,57
2015-10-30;32,27
2015-10-29;32,48
2015-10-28;32,82
2015-10-27;32,75
2015-10-26;33,17
2015-10-23;33,46
2015-10-22;32,80
2015-10-21;31,88
2015-10-20;32,14
2015-10-19;32,23
2015-10-16;32,32
2015-10-15;31,95
2015-10-14;31,38
2015-10-13;31,65
2015-10-12;32,02
2015-10-09;32,31
2015-10-08;31,93
2015-10-07;31,91
2015-10-06;31,17
2015-10-05;31,27
2015-10-02;30,12
2015-10-01;29,93
2015-09-30;29,90
2015-09-29;28,87
2015-09-28;28,88
2015-09-25;29,68
2015-09-24;28,93
2015-09-23;29,89
2015-09-22;30,08
2015-09-21;30,73
2015-09-18;30,66
2015-09-17;30,92
2015-09-16;31,10
2015-09-15;30,29
2015-09-14;29,93
2015-09-11;29,86
2015-09-10;30,06
2015-09-09;30,54
2015-09-08;29,98
2015-09-07;29,26
2015-09-04;29,53
2015-09-03;30,57
2015-09-02;29,66
2015-09-01;29,64
2015-08-31;30,55
2015-08-28;30,83
2015-08-27;30,71
2015-08-26;28,81
2015-08-25;29,45
2015-08-24;27,40
2015-08-21;29,66
2015-08-20;30,74
2015-08-19;31,41
2015-08-18;32,10
2015-08-17;32,29
2015-08-14;32,55
2015-08-13;32,50
2015-08-12;32,07
2015-08-11;32,96
2015-08-10;34,05
2015-08-07;33,68
2015-08-06;33,80
2015-08-05;34,43
2015-08-04;34,10
2015-08-03;34,00
2015-07-31;34,29
2015-07-30;34,05
2015-07-29;34,16
2015-07-28;33,69
2015-07-27;33,33
2015-07-24;34,45
2015-07-23;35,07
2015-07-22;35,52
2015-07-21;35,86
2015-07-20;36,04
2015-07-17;36,25
2015-07-16;36,24
2015-07-15;35,68
2015-07-14;35,78
2015-07-13;35,74
2015-07-10;34,94
2015-07-09;34,84
2015-07-08;34,11
2015-07-07;34,79
2015-07-06;35,69
2015-07-03;36,18
2015-07-02;36,51
2015-07-01;36,41
2015-06-30;36,10
2015-06-29;35,67
2015-06-26;36,56
2015-06-25;36,70
2015-06-24;36,98
2015-06-23;36,97
2015-06-22;36,14
2015-06-19;35,90
2015-06-18;35,81
2015-06-17;35,66
2015-06-16;35,74
2015-06-15;35,69
2015-06-12;36,02
2015-06-11;36,11
2015-06-10;36,11
2015-06-09;35,81
2015-06-08;36,18
2015-06-05;36,44
2015-06-04;36,20
2015-06-03;36,76
2015-06-02;37,30
2015-06-01;37,91
2015-05-29;37,92
2015-05-28;38,32
2015-05-27;38,80
2015-05-26;39,03
2015-05-22;39,04
2015-05-21;38,60
2015-05-20;38,78
2015-05-19;38,73
2015-05-18;38,03
2015-05-15;37,90
2015-05-14;37,97
2015-05-13;37,75
2015-05-12;37,99
2015-05-11;38,44
2015-05-08;38,63
2015-05-07;37,81
2015-05-06;37,99
2015-05-05;38,83
2015-05-04;39,12
2015-04-30;38,79
2015-04-29;39,53
2015-04-28;40,49
2015-04-27;40,76
2015-04-24;40,64
2015-04-23;40,59
2015-04-22;40,70
2015-04-21;40,39
2015-04-20;40,06
2015-04-17;39,86
2015-04-16;40,64
2015-04-15;40,66
2015-04-14;40,36
2015-04-13;40,90
2015-04-10;40,62
2015-04-09;40,20
2015-04-08;39,46
2015-04-07;38,75
2015-04-02;38,16
2015-04-01;38,03
2015-03-31;37,66
2015-03-30;37,32
2015-03-27;36,48
2015-03-26;36,44
2015-03-25;36,67
2015-03-24;37,16
2015-03-23;37,00
2015-03-20;37,28
2015-03-19;37,37
2015-03-18;37,25
2015-03-17;37,10
2015-03-16;36,87
2015-03-13;36,73
2015-03-12;36,98
2015-03-11;36,72
2015-03-10;36,12
2015-03-09;36,39
2015-03-06;36,50
2015-03-05;36,56
2015-03-04;36,35
2015-03-03;36,38
2015-03-02;36,58
2015-02-27;36,73
2015-02-26;36,64
2015-02-25;36,18
2015-02-24;36,32
2015-02-23;35,89
2015-02-20;35,92
2015-02-19;35,89
2015-02-18;35,88
2015-02-17;35,77
2015-02-16;35,84
2015-02-13;35,89
2015-02-12;35,40
2015-02-11;35,01
2015-02-10;35,36
2015-02-09;35,51
2015-02-06;35,64
2015-02-05;35,77
2015-02-04;35,94
2015-02-03;35,49
2015-02-02;35,33
2015-01-30;35,03
2015-01-29;35,52
2015-01-28;35,89
2015-01-27;35,87
2015-01-26;36,41
2015-01-23;36,56
2015-01-22;35,87
2015-01-21;34,95
2015-01-20;34,32
2015-01-19;33,93
2015-01-16;34,46
2015-01-15;34,24
2015-01-14;33,34
2015-01-13;33,75
2015-01-12;33,28
2015-01-09;33,37
2015-01-08;33,67
2015-01-07;32,81
2015-01-06;32,02
2015-01-05;32,25
2015-01-02;32,43
2014-12-30;32,36
2014-12-29;32,51
2014-12-23;32,16
2014-12-22;32,19
2014-12-19;31,90
2014-12-18;31,44
2014-12-17;30,59
2014-12-16;30,28
2014-12-15;30,05
2014-12-12;30,62
2014-12-11;31,35
2014-12-10;31,63
2014-12-09;31,82
2014-12-08;32,68
2014-12-05;32,91
2014-12-04;32,69
2014-12-03;33,04
2014-12-02;32,80
2014-12-01;32,50
2014-11-28;33,22
2014-11-27;33,54
2014-11-26;33,52
2014-11-25;33,35
2014-11-24;33,58
2014-11-21;33,72
2014-11-20;32,70
2014-11-19;32,45
2014-11-18;32,54
2014-11-17;32,68
2014-11-14;32,75
2014-11-13;32,78
2014-11-12;33,00
2014-11-11;32,89
2014-11-10;33,16
2014-11-07;32,92
2014-11-06;32,89
2014-11-05;32,92
2014-11-04;32,84
2014-11-03;33,17
2014-10-31;33,30
2014-10-30;32,95
2014-10-29;32,66
2014-10-28;32,25
2014-10-27;31,69
2014-10-24;32,16
2014-10-23;32,08
2014-10-22;32,14
2014-10-21;32,10
2014-10-20;31,68
2014-10-17;31,79
2014-10-16;31,33
2014-10-15;31,33
2014-10-14;32,27
2014-10-13;32,31
2014-10-10;31,94
2014-10-09;32,54
2014-10-08;32,27
2014-10-07;32,80
2014-10-06;33,18
2014-10-02;31,80
2014-10-01;32,40
2014-09-30;32,72
2014-09-29;32,58
2014-09-26;33,06
2014-09-25;33,00
2014-09-24;33,39
2014-09-23;32,94
2014-09-22;33,16
2014-09-19;33,66
2014-09-18;33,75
2014-09-17;33,81
2014-09-16;33,75
2014-09-15;33,37
2014-09-12;33,76
2014-09-11;34,18
2014-09-10;34,24
2014-09-09;34,73
2014-09-08;35,12
2014-09-05;35,02
2014-09-04;35,13
2014-09-03;34,60
2014-09-02;34,13
2014-09-01;34,30
2014-08-29;34,08
2014-08-28;33,92
2014-08-27;34,20
2014-08-26;34,10
2014-08-25;33,91
2014-08-22;33,62
2014-08-21;33,52
2014-08-20;33,71
2014-08-19;33,58
2014-08-18;33,32
2014-08-15;32,93
2014-08-14;33,12
2014-08-13;33,08
2014-08-12;32,83
2014-08-11;32,79
2014-08-08;32,18
2014-08-07;32,35
2014-08-06;32,47
2014-08-05;32,67
2014-08-04;32,71
2014-08-01;32,42
2014-07-31;32,52
2014-07-30;33,20
2014-07-29;33,29
2014-07-28;33,23
2014-07-25;33,06
2014-07-24;33,15
2014-07-23;33,06
2014-07-22;33,04
2014-07-21;32,35
2014-07-18;32,46
2014-07-17;32,26
2014-07-16;32,58
2014-07-15;32,23
2014-07-14;32,21
2014-07-11;31,98
2014-07-10;31,89
2014-07-09;32,01
2014-07-08;32,03
2014-07-07;32,09
2014-07-04;32,09
2014-07-03;32,11
2014-07-02;31,88
2014-07-01;31,61
2014-06-30;31,38
2014-06-27;31,45
2014-06-26;31,55
2014-06-25;31,32
2014-06-24;31,75
2014-06-23;31,39
2014-06-20;31,49
2014-06-19;31,61
2014-06-18;31,39
2014-06-17;31,49
2014-06-16;31,44
2014-06-13;31,70
2014-06-12;31,83
2014-06-11;31,87
2014-06-10;31,89
2014-06-09;31,65
2014-06-06;31,54
2014-06-05;31,15
2014-06-04;30,87
2014-06-03;30,99
2014-06-02;30,93
2014-05-30;30,84
2014-05-29;31,29
2014-05-28;31,19
2014-05-27;31,02
2014-05-26;31,32
2014-05-23;31,38
2014-05-22;31,20
2014-05-21;30,95
2014-05-20;30,92
2014-05-19;30,83
2014-05-16;30,82
2014-05-15;30,41
2014-05-14;30,81
2014-05-13;30,55
2014-05-12;30,14
2014-05-09;29,83
2014-05-08;29,74
2014-05-07;29,40
2014-05-06;29,36
2014-05-05;29,32
2014-05-02;29,41
2014-04-30;29,18
2014-04-29;29,56
2014-04-28;29,12
2014-04-25;29,05
2014-04-24;29,48
2014-04-23;29,46
2014-04-22;29,81
2014-04-17;29,73
2014-04-16;29,58
2014-04-15;29,15
2014-04-14;29,78
2014-04-11;29,53
2014-04-10;29,84
2014-04-09;29,89
2014-04-08;30,05
2014-04-07;29,74
2014-04-04;30,02
2014-04-03;29,52
2014-04-02;29,68
2014-04-01;29,50
2014-03-31;29,36
2014-03-28;29,26
2014-03-27;28,89
2014-03-26;28,57
2014-03-25;28,43
2014-03-24;27,93
2014-03-21;28,10
2014-03-20;27,68
2014-03-19;27,67
2014-03-18;27,81
2014-03-17;27,56
2014-03-14;27,24
2014-03-13;27,16
2014-03-12;27,40
2014-03-11;27,76
2014-03-10;27,79
2014-03-07;28,15
2014-03-06;28,63
2014-03-05;28,27
2014-03-04;28,31
2014-03-03;27,69
2014-02-28;28,33
2014-02-27;28,53
2014-02-26;28,37
2014-02-25;28,27
2014-02-24;28,45
2014-02-21;28,34
2014-02-20;28,14
2014-02-19;28,16
2014-02-18;28,36
2014-02-17;28,59
2014-02-14;28,53
2014-02-13;28,03
